formated_key,emotion laya,group
GAME_OVER_LAYA0,NEUTRAL,0
GAME_OVER_LAYA1,WORRIED,0
GAME_OVER_LAYA2,WORRIED,0
END_GEN_LAYA0,ANGRY,1
END_GEN_LAYA1,ANGRY,1
END_GEN_LAYA2,ANGRY,1
END_GEN_LAYA3,ANGRY,1
END_GEN_LAYA4,ANGRY,1
END_GEN_LAYA5,ANGRY,1
END_GEN_LAYA6,ANGRY,1
FAILED_END_LAYA0,NEUTRAL,2
FAILED_END_LAYA1,NEUTRAL,2
FAILED_END_LAYA2,NEUTRAL,2
FAILED_END_LAYA3,NEUTRAL,2
FAILED_END_LAYA4,NEUTRAL,2
PACIFIST_END_LAYA0,CONFIDENT,3
PACIFIST_END_LAYA1,CONFIDENT,3
PACIFIST_END_LAYA2,CONFIDENT,3
PACIFIST_END_LAYA3,CONFIDENT,3
PACIFIST_END_LAYA4,CONFIDENT,3
PACIFIST_END_LAYA5,CONFIDENT,3
SELF_DESTRUCTION_LAYA0,SURPRISED,4
SELF_DESTRUCTION_LAYA1,WORRIED,4
SELF_DESTRUCTION_LAYA2,SAD,4
SELF_DESTRUCTION_LAYA3,GRATEFUL,4
SELF_DESTRUCTION_LAYA4,GRATEFUL,4
SELF_DESTRUCTION_LAYA5,IN_LOVE,4
FIRST_ORDER_LAYA0,HAPPY_IN_LOVE,5
FIRST_ORDER_LAYA1,HAPPY_IN_LOVE,5
FIRST_ORDER_LAYA2,HAPPY_IN_LOVE,5
FIRST_ORDER_LAYA3,HAPPY_IN_LOVE,5
FIRST_ORDER_LAYA4,HAPPY_IN_LOVE,5
SECOND_ORDER_LAYA0,SURPRISED,6
SECOND_ORDER_LAYA1,SURPRISED,6
SECOND_ORDER_LAYA2,SURPRISED,6
SECOND_ORDER_LAYA3,HAPPY,6
SECOND_ORDER_LAYA4,HAPPY_IN_LOVE,6
THIRD_ORDER_LAYA0,WORRIED,7
THIRD_ORDER_LAYA1,WORRIED,7
THIRD_ORDER_LAYA2,NEUTRAL,7
THIRD_ORDER_LAYA3,NEUTRAL,7
THIRD_ORDER_LAYA4,HAPPY,7
FOURTH_ORDER_LAYA0,WORRIED,8
FOURTH_ORDER_LAYA1,WORRIED,8
FOURTH_ORDER_LAYA2,WORRIED,8
FOURTH_ORDER_LAYA3,SAD,8
FIFTH_ORDER_LAYA0,WORRIED,9
FIFTH_ORDER_LAYA1,WORRIED,9
FIFTH_ORDER_LAYA2,WORRIED,9
FIFTH_ORDER_LAYA3,WORRIED,9
SIXTH_ORDER_LAYA0,ANGRY,10
SIXTH_ORDER_LAYA1,ANGRY,10
SIXTH_ORDER_LAYA2,SAD,10
SIXTH_ORDER_LAYA3,SAD,10
SIXTH_ORDER_LAYA4,SAD,10
