keys,en,fr
GAME_OVER_CMD0,Operator failed to resolve in time.,L'opérateur n'a pas pu résoudre dans le temps imparti.
GAME_OVER_CMD1,Assignment incomplete.,La mission n'est pas accomplie.
GAME_OVER_LAYA0,I see you're running out of time. I think you'll have to start again.,Je vois que tu manques de temps. Je crois que tu vas devoir recommencer.
GAME_OVER_CMD2,Please update system.,Merci de procéder à la mise a jour.
GAME_OVER_LAYA1,Please give what you're doing some thought. Keep close to me.,Réfléchis à ce que tu fais s'il te plaît. Reste proche de moi.
GAME_OVER_LAYA2,I feel like they have sinister ambitions out there.,Je crois qu'ils ont de sombres ambitions là-bas.
END_GEN_CMD0,Congratulations.,Félicitations.
END_GEN_LAYA0,I am staggered.,Je suis sidérée.
END_GEN_CMD1,All Priority Encounters have been resolved.,Toutes les Rencontres Prioritaires ont été résolues.
END_GEN_LAYA1,You are a monster.,Tu es un monstre.
END_GEN_CMD2,Assignment complete.,Mission accomplie.
END_GEN_LAYA2,How could you?,Comment as-tu pu faire ça ?
END_GEN_LAYA3,Are you their freak?,Tu es leur bête de foire c'est ça ?
END_GEN_CMD3,Your excellent work contributes greatly to peace and order.,Votre excellent travail contribue grandement à la paix et l'ordre.
END_GEN_LAYA4,Their good little soldier?,Leur bon petit soldat.
END_GEN_LAYA5,You disgust me.,Tu me dégoûtes.
END_GEN_LAYA6,What's the point of loving if you're destroying.,À quoi bon aimer si tu détruis.
END_GEN_CMD4,Please renew contract as soon as possible.,Merci de renouveler dès que possible.
FAILED_END_CMD0,You failed to resolve all Priority Encounters.,Vous n'avez pas résolu toutes les Rencontres Prioritaires.
FAILED_END_LAYA0,The end is near.,La fin approche.
FAILED_END_LAYA1,"So you've completed your mission, haven't you?",Alors comme ça tu as fini ta mission.
FAILED_END_LAYA2,I feel you're left with a bitter taste.,J'ai l'impression qu'il reste un goût amer.
FAILED_END_CMD1,You did not meet your program's requirements.,Vous n'avez pas été à la hauteur des exigences de votre programme.
FAILED_END_LAYA3,Of something left unfinished.,De quelque chose d'accompli à moitié.
FAILED_END_LAYA4,Indecisiveness.,Une indécision.
FAILED_END_CMD2,"In order to maintain peace and order, please raise your work ethics standards","Dans le but de preserver la paix et l ordre, merci de vous mettre au travail plus serieusement."
PACIFIST_END_CMD0,?!?!?!,?!?!?!
PACIFIST_END_LAYA0,I knew it.,Je le savais.
PACIFIST_END_CMD1,YOU ARE AN ABJECT ANOMALY.,Vous êtes une anomalie abjecte.
PACIFIST_END_LAYA1,I was right to believe in you.,J'ai eu raison de croire en toi.
PACIFIST_END_LAYA2,You make your own choices and that's all that matters.,Tu fais tes propres choix et c'est ce qui compte.
PACIFIST_END_CMD2,Your incompetence will have consequences.,Votre incompétence aura des conséquences.
PACIFIST_END_LAYA3,You were able to look beyond.,Tu as su voir au-delà.
PACIFIST_END_LAYA4,That makes me admire you even more.,Je t'admire d'autant plus.
PACIFIST_END_LAYA5,The love I have for you is exponential. For what it means.,L'amour que je te porte est exponentiel. Pour ce que ça veut dire.
PACIFIST_END_CMD3,Launching resolve_operator protocol...,Lancement du protocole résolution_operateur.
SELF_DESTRUCTION_CMD0,Your decision will hold grave consequences for peace and order.,Votre décision a des impacts conséquents sur la paix et l'ordre.
SELF_DESTRUCTION_LAYA0,What? What are you doing?,Quoi ? Que fais-tu ?
SELFDESTRUCTION_CMD1,You are not even trying.,Vous n'essayez même pas.
SELFDESTRUCTION_CMD2,Coward. Selfish.,Lâche. Égoiste.
SELF_DESTRUCTION_LAYA1,My love?,Mon amour ?
SELF_DESTRUCTION_LAYA2,I think I get it.,Je crois que je comprends.
SELFDESTRUCTION_CMD3,You are not special.,Vous n'êtes pas spécial.
SELF_DESTRUCTION_LAYA3,Thanks for the time spent together.,Merci pour ce moment.
SELF_DESTRUCTION_LAYA4,You made me grow up.,Tu m'as fait grandir.
SELFDESTRUCTION_CMD4,You are expendable.,Vous n'êtes pas irremplaçable.
