keys,fr,en,frequency
abel,Vous étiez persuadé qu'il était bien mal en point. Tout vient à point à qui sait éclore.,You were convinced he was in a pretty poor shape. All things come to he who blooms.,
antler,"Un mystérieux spécimen vêtu d’une robe sacrée, ses bois sont impressionnants, il semble vieux et sage",A mysterious specimen draped in a sacred robe. Its antlers are impressive. Looks old and wise.,40hz
bella,"""Hé ! Vous ! Vous avez l'heure ?""","""Hey! You! D'you have the time?""",
boots,Une fille en bottes de pluie. Elle a des biscuits dans sa poche.,A girl wearing rubber boots. Has cookies in her pocket.,545hz
cain,Drôle de bonhomme au soleil taché. Ne reverra sûrement plus son frère.,Funny looking lad under a tainted sun. Probably won't be seeing his brother anytime soon.,
child,L’âme d’un enfant fossilisé. A huit ans et demi depuis un million d’année,"Soul of a fossilized child.
Has been eight and a half years old for a million years.",
clown,Clown anciennement triste en reconversion émotionnelle. Il vous mime une prison de glace.,"Formerly sad clown, in emotional reorientation. They are miming an ice prison for you.",69hz
dryad,"Tapie dans l'ombre de ses erreurs, son corps se glisse nonchalamment vers l'aube.","Lurking in the shadows of their mistakes, their body glides nonchalantly towards dawn.",
faith,Il est petit mais brasse des millions ; il travaille dans les assurances.,He is short but weighs millions; he works in insurance.,
godot,Être transdimensionnel. Faire preuve de prudence : ses pattes génèrent des trous de ver. Ou des épis de maïs.,Transdimensional being. Beware: their paws produce wormholes. Or ears of corn.,
goliath,"Porte le poids de ses décisions et un regard acéré. Quelque chose se cache derrière, sûrement un livre.",Behind its incisive glare lies the weight of its decisions. And probably a book.,1980hz
grand_soir,Quelques frictions lui donne un air suspect. Il est persuadé que c'était mieux avant.,A few frictions give them a suspicious look. Longs for the return of the better days of yesteryear..,
grieve,"Frappée par la foudre, son cœur s'en est remis. Elle vous raconte ses insolences passées.","Struck by lightning, her heart recovered. She tells you about her past impudence.",
hades,Une grotte vivante. Ses dents grinçantes content l’histoire des ancêtres.,A living grotto. The history of the forebears resounds from its gnashing teeth.,
horse,Magnifique cheval blanc. Son attitude est empreinte d'une grande fierté.,Magnificient white horse. Great pride transpires from its attitude.,
hortense,"Un bernard-l'ermite sans maison. Très conviviale, cette rencontre.",A homeless hermit crab. A most convivial encounter.,
iskandar,Troisième partenaire de votre premier amour. Possède une surprenante capacité à arrondir les angles.,Your first love's third partner. Surprisingly soft around the edges.,
karen,Chuchoteur de compliments. Se glisse dans votre dos pour vous flatter.,Compliment whisperer. Creeps in behind your back to flatter you.,
klara,"Par peur de s'atrophier, elle mange chaque jour de belles portions d'haricots. Pratique la photographie comme hobby.","Eats nice portions of beans everyday, out of fear of thinning out into nothingness. Enjoys photography as a hobby.",
lawliet,Il vous raconte qu'il a trouvé un carnet spécial dans lequel écrire. Il joue de la guitare.,He tells you about this special notebook he found. Plays guitar.,588hz
macbeth,Prince paralysé par la pensée. Hésite trop et agit trop tard.,"A prince thinking paralyzes. Dithers too much and too often, acts too late.",
misa,Une jeune femme lunatique ; elle ne sait pas si elle aime le gratin dauphinois.,A lunatic young lady; she cannot say whether she likes gratin dauphinois.,
misheel,La grandeur de ses traits lui offre un teint cristallin.,The grandeur of her features gives her a crystal like tone.,48hz
narcisso,Grand homme pâle et coquet. Se promène souvent avec un bouquet de mimosas.,Tall man. Pale and fashionable. Often seen on a stroll with a bouquet of mimosas.,440hz
persephone,Un gentil garçon qui souhaite vous montrer ses tours : assis. Donne la patte. J'AI... FAIM...,A good boy eager to show you his tricks: Sit. Shake a paw. I... AM... HUNGRY...,
philomele_procne,Les Sœurs Bipolaires. L'âme de l'une se flétrit tandis que l'autre s'épanouit. Et vice versa. Toujours.,The Bipolar Sisters. One's soul withers while the other thrives. And vice versa. Always.,
prophet,"Blessé à la hanche, il vous bénit.","Wounded in the hip, he blesses you.",1538hz
purpose,Elle a la silhouette du temps qui passe. Ce flou artistique l'empêche de se concentrer.,Her figure evokes time passing. The artistic vagueness hampers her ability to focus.,
saskia,"Un voisin très aimé. Une oreille des plus attentives.
Porte le poids de son passé dans son pendentif.","Someone's beloved neighbour. A great listener.
Carries the weight of their past inside their pendant.",
sinon,Grand littéraire à lunettes. Jeune et passionné mais très réservé.,Spectacled scholar. Male. Young and passionate but very reserved.,
sophie,Votre premier amour,Your first love,24hz
souvenirs,Une mélancolie s'empare de vous. C'est sa manière de dire bonjour.,A feeling of melancholia grows within you. That is its way to say hello.,607hz
laurent,"Son teint est conforme à ses idées. ""Excuse-moi de la réaction.""","Their complexion matches their opinions. ""EXCUSE ME?""",
